player_name,user_memo,analysis_memo
カピタン,,
kai.t,,
pandaaaz,,
逢坂小溪,,
ぽんこちゃん。,,
モイヒャン,,
2008-RF,,
ばしゃうま,,
ざばす,,
Pom319,,
踊らないポカリ,,
ロヒモトスミ,,
在宅雀士,,
QuadCore,,
お前も舞うか,,
クリスチャンZ,,
daijiro,,
司波深雪,,
Wingding,,
Sxx0028,,
猫ウルフ,,
カニエ東,,
ricardo,,
比嘉秀仁,,
墨,,
すせそ,,
れいじ28425,,
ミヤシー,,
ちらちら,,
メダ活ガチ勢です,,
AccesS,,
涅槃ちゃん,,
MASA0226,,
dfdr,,
アンメモ,,
てぃむのすけ,,
PlayHard,,
Unbobo,,
Lilguaro,,
Abelox,ちょい押しすぎかなt高め2000点で中トイツで降りられるのに,
てぃーおも,,
くれーぷちゃん,,
臥竜,,
氷乃ハコ@VT,,
Leontes,,
ピッチー,,
okabeshi,,
ルーリー0208,,
a20513,,
JIMMY,,
mendotti,,
タコ中のタコ,くそダマ8000両面。仕掛け入ってたからかも。四段,
なべかつ,,
奥寺,,
tacolog,ドラ跨ぎくそ5800ダマ。六段なのにクソダマ,
メリオ94,,
ten-ten,,
IWA3,,
ゆったり,四段クソダマ,
とらもんち,,
namu0820,,
カルペディエム,,
これがふさふさ,,
SIBATA,,
こみてん,,
幸せのサチコさん,南2ラス回避のための3着で2000局消化役牌鳴き両面,
ビビリヘタレ引弱,,
JPGR,字牌単騎とか字牌待ち好きかも,
Noris,,
Nanoah,,
戀病熱,"五段ぬるい。ダントツトップ目でドラ打ち押し。かなり攻め型かな、押しすぎの
ダマケアも甘い。三段目親手出し跨ぎ筋でも",
みそ,役無しクソダマ,
助清,"七段しっかり押し気味
リーチ宣言してから高め三色ある方を少し時間かけた4連からの切りがあった",
HACO,両面くっそダマ,
のだめヽ,,
冬實yuki,,
ぬまお1,,
つつつーつつっ,,
和泉千晶*,,
Riluto,,
うぃきるそん,,
kuromate,,
キャベツ食い,,
広がる堂岐,,
おむりーち,五段クソダマ,
いちぽむ,四段。19ぬるいかも。外側もぬるめ,
北区田端,,
ろんぐすとれんじ,,
cjx7953,,
田中摩美々,,
怠惰の極,,
ポーちゃん,,
ponion,,
にゃしの弟子,五段、ぬるい。門前だった,
YAYAYA49,,
kx,,
Sachi2,五段クソダマ。トップ争いにかなり損→牽制でダマになる。おまけにぬるめ,
サラダチキン,,
スライムの冠,,
99パー,,
安全第一即リーチ,,
K15,,
夜叉,,
これぞ麻雀,,
tikura,,
windyxx,,
七水,,
azuuuu,小三元単騎ぬるいしクソダマ五段,
ミゲール改,五段ぬるい、というか二軒寄りに押しすぎ,
かちゃくちゃねぇ,早タイム7m先切りツモ切りの6-9mあった。22388sが入り目っぽい,
◯所恐怖症,,
Luc1fer,先切りマン？,
anyadra,六段親リー急ぎがちペン7m、親カン早すぎビビらせ,
三元牌の切り順,,
くらえす,,
シコシコJP,,
=雷帝ゼオン=,六段リーチ後めちゃくちゃラグらせる,
ばろん２９,,
ボッジ,,
sakuwo②,,
kitaha,,
眞田槐,,
turtle.,,
Sahara87,ラス目くっそダマ、だから四段,
